,timestamp,open,high,low,close,volume
0,2021-11-15,0.009,0.016237,0.009,0.0128,1858069340.0
1,2021-11-16,0.012799,0.013155,0.008823,0.009886,3118436315.0
2,2021-11-17,0.009882,0.067231,0.009601,0.045885,15977269896.0
3,2021-11-18,0.045721,0.048001,0.01032,0.011099,14789864933.0
4,2021-11-19,0.011099,0.0146,0.00825,0.008649,18467962639.0
5,2021-11-30,0.00925,0.00925,0.008684,0.008703,1331396387.0
6,2021-12-01,0.008704,0.008757,0.0086,0.00867,2295359111.0
7,2021-12-02,0.008669,0.00889,0.00864,0.008758,1212318247.0
8,2021-12-03,0.008761,0.008838,0.00871,0.008775,535905469.0
9,2021-12-04,0.008775,0.008777,0.008699,0.008724,671673653.0
10,2021-12-05,0.008724,0.008786,0.008724,0.008777,196636905.0
11,2021-12-06,0.008775,0.008775,0.008714,0.008717,237742224.0
12,2021-12-07,0.008717,0.008759,0.008698,0.008745,249756019.0
13,2021-12-08,0.008746,0.008766,0.008729,0.008752,161845672.0
14,2021-12-09,0.008752,0.008813,0.008737,0.00877,216997046.0
15,2021-12-10,0.008771,0.008812,0.008722,0.008746,1204881278.0
16,2021-12-11,0.008746,0.008749,0.008722,0.008727,295200327.0
17,2021-12-12,0.008725,0.008782,0.008683,0.008774,335593876.0
18,2021-12-13,0.008774,0.008787,0.00871,0.008764,410138614.0
19,2021-12-14,0.008767,0.008775,0.008707,0.008752,258974572.0
20,2021-12-15,0.008754,0.008761,0.008701,0.008725,248144256.0
21,2021-12-16,0.008728,0.008775,0.008713,0.008764,192634424.0
22,2021-12-17,0.008765,0.008808,0.00876,0.008781,162752636.0
23,2021-12-18,0.008777,0.00878,0.00876,0.008767,75974959.0
24,2021-12-19,0.008765,0.00878,0.008755,0.00878,102662586.0
25,2021-12-20,0.008777,0.0088,0.008769,0.008781,156921932.0
26,2021-12-21,0.008784,0.008797,0.008726,0.008743,143425667.0
27,2021-12-22,0.008745,0.008759,0.00873,0.008747,121381595.0
28,2021-12-23,0.008741,0.008747,0.008711,0.008729,118741148.0
29,2021-12-24,0.008729,0.008737,0.008713,0.008732,119738469.0
30,2021-12-25,0.008733,0.008735,0.008711,0.008716,72729154.0
31,2021-12-26,0.008716,0.008718,0.008711,0.008715,92688921.0
32,2021-12-27,0.008714,0.008715,0.008684,0.008688,98403544.0
33,2021-12-28,0.008686,0.008688,0.008668,0.008678,103377373.0
34,2021-12-29,0.008677,0.008701,0.008658,0.008665,131012391.0
35,2021-12-30,0.008665,0.008692,0.008658,0.008682,80150919.0
36,2021-12-31,0.008682,0.008683,0.008658,0.008661,84575252.0
37,2022-01-01,0.008664,0.008678,0.008657,0.008669,79355876.0
38,2022-01-02,0.008665,0.008683,0.008663,0.008669,63154815.0
39,2022-01-03,0.008675,0.008676,0.008653,0.008655,57164201.0
40,2022-01-04,0.008653,0.008655,0.008587,0.008588,103029692.0
41,2022-01-05,0.008588,0.008621,0.008575,0.008575,97924030.0
42,2022-01-06,0.008576,0.008623,0.008574,0.008618,126050398.0
